tensor(12.2824, device='cuda:0')
tensor(12.3231, device='cuda:0')
tensor(12.3749, device='cuda:0')
tensor(12.6855, device='cuda:0')
tensor(13.0065, device='cuda:0')
tensor(13.2949, device='cuda:0')
tensor(13.5721, device='cuda:0')
tensor(13.5338, device='cuda:0')
tensor(13.4739, device='cuda:0')
tensor(13.4142, device='cuda:0')
tensor(13.3471, device='cuda:0')
tensor(13.3359, device='cuda:0')
tensor(13.3457, device='cuda:0')
tensor(13.3500, device='cuda:0')
tensor(13.4032, device='cuda:0')
tensor(13.4376, device='cuda:0')
tensor(13.4664, device='cuda:0')
tensor(13.5063, device='cuda:0')
tensor(13.5076, device='cuda:0')
tensor(13.5173, device='cuda:0')
tensor(13.5323, device='cuda:0')
tensor(13.5353, device='cuda:0')
tensor(13.5373, device='cuda:0')
tensor(13.5326, device='cuda:0')
tensor(13.5094, device='cuda:0')
tensor(13.5079, device='cuda:0')
tensor(13.5064, device='cuda:0')
tensor(13.5268, device='cuda:0')
tensor(13.5647, device='cuda:0')
tensor(13.5774, device='cuda:0')
tensor(13.6014, device='cuda:0')
tensor(13.6018, device='cuda:0')
tensor(13.6097, device='cuda:0')
tensor(13.6152, device='cuda:0')
tensor(14.4629, device='cuda:0')
tensor(15.3730, device='cuda:0')
tensor(16.3333, device='cuda:0')
tensor(17.3689, device='cuda:0')
tensor(17.3310, device='cuda:0')
tensor(17.2726, device='cuda:0')
tensor(17.2188, device='cuda:0')
tensor(17.1916, device='cuda:0')
tensor(17.2429, device='cuda:0')
tensor(17.2948, device='cuda:0')
tensor(17.3570, device='cuda:0')
tensor(17.3499, device='cuda:0')
tensor(17.3411, device='cuda:0')
tensor(17.2929, device='cuda:0')
tensor(17.2870, device='cuda:0')
tensor(17.3067, device='cuda:0')
tensor(17.3643, device='cuda:0')
tensor(17.5273, device='cuda:0')
tensor(17.6656, device='cuda:0')
tensor(17.7884, device='cuda:0')
tensor(17.7407, device='cuda:0')
tensor(17.6813, device='cuda:0')
tensor(17.6422, device='cuda:0')
tensor(17.6475, device='cuda:0')
tensor(17.6657, device='cuda:0')
tensor(17.6928, device='cuda:0')
tensor(17.7731, device='cuda:0')
tensor(17.8275, device='cuda:0')
tensor(17.8694, device='cuda:0')
tensor(17.8552, device='cuda:0')
tensor(17.8340, device='cuda:0')
tensor(17.8200, device='cuda:0')
tensor(19.2490, device='cuda:0')
tensor(20.7972, device='cuda:0')
tensor(20.7459, device='cuda:0')
tensor(20.6946, device='cuda:0')
tensor(20.6406, device='cuda:0')
tensor(20.6489, device='cuda:0')
tensor(20.6602, device='cuda:0')
tensor(20.6852, device='cuda:0')
tensor(20.6870, device='cuda:0')
tensor(20.6804, device='cuda:0')
tensor(20.6856, device='cuda:0')
tensor(20.6705, device='cuda:0')
tensor(20.6856, device='cuda:0')
tensor(20.7320, device='cuda:0')
tensor(20.7389, device='cuda:0')
tensor(21.0968, device='cuda:0')
tensor(21.4754, device='cuda:0')
tensor(21.4286, device='cuda:0')
tensor(21.3779, device='cuda:0')
tensor(21.3379, device='cuda:0')
tensor(21.3111, device='cuda:0')
tensor(21.2911, device='cuda:0')
tensor(21.3659, device='cuda:0')
tensor(21.4472, device='cuda:0')
tensor(21.4429, device='cuda:0')
tensor(21.4408, device='cuda:0')
tensor(21.4113, device='cuda:0')
tensor(21.4041, device='cuda:0')
tensor(21.3731, device='cuda:0')
tensor(21.3368, device='cuda:0')
tensor(21.3846, device='cuda:0')
tensor(21.4213, device='cuda:0')
tensor(21.4162, device='cuda:0')
tensor(21.4768, device='cuda:0')
tensor(21.5681, device='cuda:0')
tensor(21.5964, device='cuda:0')
tensor(21.5596, device='cuda:0')
tensor(21.5090, device='cuda:0')
tensor(21.4993, device='cuda:0')
tensor(21.7878, device='cuda:0')
tensor(22.0502, device='cuda:0')
tensor(22.0011, device='cuda:0')
tensor(21.9310, device='cuda:0')
tensor(21.9473, device='cuda:0')
tensor(21.9932, device='cuda:0')
tensor(22.0378, device='cuda:0')
tensor(22.0164, device='cuda:0')
tensor(22.0208, device='cuda:0')
tensor(22.0682, device='cuda:0')
tensor(22.0903, device='cuda:0')
tensor(22.1094, device='cuda:0')
tensor(22.1279, device='cuda:0')
tensor(22.1388, device='cuda:0')
tensor(22.1663, device='cuda:0')
tensor(22.1695, device='cuda:0')
tensor(22.1326, device='cuda:0')
tensor(22.1726, device='cuda:0')
tensor(22.2105, device='cuda:0')
tensor(22.2365, device='cuda:0')
tensor(22.2669, device='cuda:0')
tensor(22.2440, device='cuda:0')
tensor(22.2625, device='cuda:0')
tensor(23.4711, device='cuda:0')
tensor(24.7313, device='cuda:0')
tensor(24.6926, device='cuda:0')
tensor(24.6465, device='cuda:0')
tensor(24.7086, device='cuda:0')
tensor(24.6945, device='cuda:0')
tensor(24.6523, device='cuda:0')
tensor(24.6880, device='cuda:0')
tensor(25.1965, device='cuda:0')
tensor(25.6928, device='cuda:0')
tensor(25.6262, device='cuda:0')
tensor(25.5032, device='cuda:0')
tensor(25.4719, device='cuda:0')
tensor(25.4877, device='cuda:0')
tensor(25.4867, device='cuda:0')
tensor(25.5142, device='cuda:0')
tensor(25.5596, device='cuda:0')
tensor(25.6242, device='cuda:0')
tensor(25.6413, device='cuda:0')
tensor(25.6383, device='cuda:0')
tensor(25.6482, device='cuda:0')
tensor(25.6554, device='cuda:0')
tensor(25.6285, device='cuda:0')
tensor(25.6447, device='cuda:0')
tensor(25.7115, device='cuda:0')
tensor(25.7446, device='cuda:0')
tensor(25.7656, device='cuda:0')
tensor(25.7735, device='cuda:0')
tensor(25.7801, device='cuda:0')
tensor(25.7775, device='cuda:0')
tensor(25.7903, device='cuda:0')
tensor(25.8145, device='cuda:0')
tensor(26.2886, device='cuda:0')
tensor(26.2289, device='cuda:0')
tensor(26.2121, device='cuda:0')
tensor(26.2934, device='cuda:0')
tensor(26.3076, device='cuda:0')
tensor(26.3213, device='cuda:0')
tensor(26.3345, device='cuda:0')
tensor(26.3379, device='cuda:0')
tensor(26.3139, device='cuda:0')
tensor(26.3760, device='cuda:0')
